score	repo_id	repo	resource_id	title	creator	date	is_personal	type_genre	return_to_german	born_german	home	german_places	glang	emigre	type	language	url
30	3	American Jewish Historical Society	198	Adolphus Simeon Solomons, papers	Solomons, Adolphus S. (Adolphus Simeon), 1826-1910	undated, 1841-1966	1	0	1	0	1	2	0	0	Sermons | Articles | Clippings (information artifacts) | Correspondence | Eulogies (documents) | Obituaries | Photograph	eng | Latn | The collection is in English.	https://archives.cjh.org/repositories/3/resources/198
29	3	American Jewish Historical Society	15552	Oscar I. Janowsky Papers	Janowsky, Oscar I. (Oscar Isaiah), 1900-1993	undated, 1916-1993 | undated, 1916-1993	1	1	1	0	0	2	0	0	Articles | Clippings files | Correspondence | Diaries | Memoirs | Personal correspondence | Research notes	eng | Latn | fre | Latn | ger | Latn | heb | Hebr | pol | Latn | yid | Hebr	https://archives.cjh.org/repositories/3/resources/15552
28	3	American Jewish Historical Society	15512	Marion E. Kenworthy Papers	Kenworthy, Marion E. (Marion Edwena), 1891-1980	undated, 1938-1952	1	0	1	0	0	2	1	11	Correspondence | Editorials | Minutes (administrative records) | Newsletters | Articles | Pamphlets | Publications (docu	eng | Latn	https://archives.cjh.org/repositories/3/resources/15512
28	3	American Jewish Historical Society	228	Papers of Aliza Greenblatt (1885-1975)	Greenblatt, Aliza, 1888-1975	undated, 1882-1983, 1993	1	0	1	0	0	1	5	0	Clippings (information artifacts) | Correspondence | Manuscripts (documents) | Newsletters | Poems | Programs (documents	yid | Hebr | eng | Latn | heb | Hebr | rus | Cyrl | fre | Latn	https://archives.cjh.org/repositories/3/resources/228
28	3	American Jewish Historical Society	6728	Shaul Osadchey Papers	Osadchey, Shaul, 1950-	undated, 1968-1978, 1980-1981, 1983-1992 | 1970 -- 1988	1	0	1	0	1	1	0	0	Bumper stickers | Clippings (information artifacts) | Commemorative jewelry | Correspondence | Headgear | Memorandums | 	eng | Latn | rus | Cyrl	https://archives.cjh.org/repositories/3/resources/6728
27	3	American Jewish Historical Society	15537	Walter Hart Blumenthal papers	Blumenthal, Walter Hart, 1883-1969	undated, 1882-1969 | 1900 -- 1969	1	1	1	0	0	1	0	0	Articles | Clippings (information artifacts) | Correspondence | Diaries | Manuscripts (documents) | Photographs | Poems 	eng | Latn | The collection is in English.	https://archives.cjh.org/repositories/3/resources/15537
27	3	American Jewish Historical Society	19997	John Langeloth Loeb and Frances Lehman Loeb Family Papers	Lehman family | Loeb family | Loeb, Frances Lehman, 1906-1996 | Loeb, John Langeloth, 1902-	1893 -- 1997 | 1926 -- 1998	1	0	0	1	1	3	0	0	Artifacts (object genre) | Correspondence | Legal correspondence | Photographs	eng | Latn	https://archives.cjh.org/repositories/3/resources/19997
26	3	American Jewish Historical Society	15707	Bernhard Felsenthal papers	Felsenthal, Bernhard, 1822-1908	undated, 1844-1922	1	0	0	1	0	3	2	1	Ephemera (general object genre) | Clippings (information artifacts) | Correspondence	eng | Latn | heb | Hebr | ger | Latn | fre | Latn | The collection is in English, Hebrew, German, and French.	https://archives.cjh.org/repositories/3/resources/15707
26	7	YIVO Institute for Jewish Research	531	Papers of Isaac Nachman Steinberg	Steinberg, Isaac Nachman, 1888-1957	1893-1968 | 1919-1956	1	1	0	0	0	5	2	5	Administrative reports | Correspondence | Diaries | Manuscripts (documents) | Minutes (administrative records) | Clippin	yid | yid | rus | pol | ger | eng | fre | heb | spa | dut | rum | ita | srp | hrv | cze | nor | swe | The collection is in Yiddish, Russian, Polish, German, English, French, Hebrew, Spanish, Dutch, Romanian, Italian, Serbian, Croatian, Czech, Norwegian, and Swedish.	https://archives.cjh.org/repositories/7/resources/531
25	7	YIVO Institute for Jewish Research	21984	Lionel S. Reiss Papers	Reiss, Lionel S. (Lionel Samson), 1894-	1921-1952	1	0	0	1	1	2	0	0	Drawings (visual works)	eng	https://archives.cjh.org/repositories/7/resources/21984
25	7	YIVO Institute for Jewish Research	3396	Papers of Nokhem Shtif	Shṭif, Naḥum, 1879-1933	1910-1934	1	1	0	0	0	4	6	1	Correspondence | Financial records | Lectures | Manuscripts (documents) | Memoirs | Minutes (administrative records) | C	yid | heb | rus | ukr | ger | pol | The collection is in Yiddish, with some Russian, Ukrainian, Hebrew, German, and Polish.	https://archives.cjh.org/repositories/7/resources/3396
24	3	American Jewish Historical Society	18226	Jacob Xenab Cohen, papers	Cohen, J. X. (Jacob Xenab), 1889-1955	undated, 1913-1978	1	0	1	0	0	1	0	2		eng | Latn | heb | Hebr | por | Latn | spa | Latn | The collection is in English, Hebrew, Portuguese, and Spanish.	https://archives.cjh.org/repositories/3/resources/18226
23	3	American Jewish Historical Society	12473	Solomon Lyons (1760-1812) Papers	Lyons, Solomon, 1760-1812	1788-1804	1	0	0	1	0	3	1	0	Correspondence | Manuscripts (documents) | Financial records | Legal documents | Wills	eng | Latn | yid | Hebr | The collection is in English and Yiddish.	https://archives.cjh.org/repositories/3/resources/12473
23	3	American Jewish Historical Society	6730	Ernest W. Michel (1923-2016) Papers	Michel, Ernest W., 1923-2016	[1698], 1920-1996 | 1946-1987	1	0	0	1	0	3	0	20	Clippings (information artifacts) | Correspondence | Lectures | Photographs	eng | Latn | heb | Hebr | yid | Hebr | ger | Latn | fre | Latn | pol | Latn | rom | Latn | dan | Latn	https://archives.cjh.org/repositories/3/resources/6730
23	7	YIVO Institute for Jewish Research	22090	Papers of Isaac Abraham Reif	Reif, Abraham Isaac, 1871-1946	1900 -- 1934	1	0	0	1	1	1	0	0		eng | yid	https://archives.cjh.org/repositories/7/resources/22090
23	7	YIVO Institute for Jewish Research	3503	Papers of Grigori Gurevitch	Gurevitch, Grigori Evseevich, 1852-1929	1888, 1901-1928	1	1	0	0	0	4	2	1	Correspondence | Official documents | Newspapers | Petitions | Clippings (information artifacts) | Memoirs | Manuscripts	rus | rus | yid | ger | ger | eng | The collection is in Russian with some Yiddish, German, French, and English.	https://archives.cjh.org/repositories/7/resources/3503
23	7	YIVO Institute for Jewish Research	556	Papers of Chaim Grade and Inna Hecker Grade	Grade, Chaim, 1910-1982	1910s-2010 | bulk 1940s-2000s	1	0	0	0	1	2	3	12	Poetry | Official documents | Newspapers | Correspondence | Photographs | Audiotapes | Tape reels | Lectures	yid | eng | heb | rus | fre | lit | pol | ger | tuk | The collection is predominantly in Yiddish and English, with some Hebrew, Russian, and French, as well as individual items in Lithuanian, Polish, German, and Turkmen.	https://archives.cjh.org/repositories/7/resources/556
22	7	YIVO Institute for Jewish Research	22176	Papers of Adolph Schauder	Schauder, Adolph, 1880-1968	1920s-1960s	1	0	1	0	0	1	0	0		eng	https://archives.cjh.org/repositories/7/resources/22176
21	7	YIVO Institute for Jewish Research	21050	Herman Bernstein Papers	Bernstein, Herman, 1876-1935	1899-1935	1	0	0	1	0	1	2	0		eng | yid | rus | ger | pol | fre | The collection is in English, Yiddish, Russian, German, Polish, and French.	https://archives.cjh.org/repositories/7/resources/21050
21	7	YIVO Institute for Jewish Research	21639	Papers of Rudolf Martin Cheim	Cheim, Rudolf Martin, 1905-	1942 -- 1948	1	0	0	1	0	2	0	8	Identity cards | Postcards | Photographic prints	eng	https://archives.cjh.org/repositories/7/resources/21639
21	7	YIVO Institute for Jewish Research	3504	Papers of Marc Ratner	Cherikover, I. M., 1881-1943 | Ratner, M. B. (Mark Borisovich), 1871-1917	1902-1922	1	0	0	0	1	2	2	3	Manuscripts (documents) | Correspondence | Official documents | Newspapers | Petitions | Minutes (administrative records	rus | rus | yid | ger | Latn | The collection is in Russian and Yiddish with some German.	https://archives.cjh.org/repositories/7/resources/3504
19	7	YIVO Institute for Jewish Research	21391	Papers of Heinz and Luba B. Condell	Condell, Heinz, 1905-1951 | Condell, Luba B., 1912-1979	1928-1970s	1	0	0	0	0	5	2	0	Theater -- Reviews | Scripts (documents) | Photographic prints	eng | Latn | yid | Hebr | ger | Latn | Materials are in English, German, and Yiddish.	https://archives.cjh.org/repositories/7/resources/21391
19	7	YIVO Institute for Jewish Research	3278	Morris Rosenfeld Papers	Rosenfeld, Morris, 1862-1923	1888-1967	1	0	0	0	1	1	4	0	Photographic prints | Sheet music	yid | yid | eng | ger | The collection is in Yiddish, English, and German.	https://archives.cjh.org/repositories/7/resources/3278
19	7	YIVO Institute for Jewish Research	3279	Israel Cohen Papers	Cohen, Israel, 1879-1961	1906-1961	1	0	0	0	0	4	2	3	Clippings (information artifacts) | Manuscripts (documents)	eng | eng | ger | fre | heb | pol | yid | The collection is in English, German, French, Hebrew, Polish, and one document in Yiddish.	https://archives.cjh.org/repositories/7/resources/3279
18	7	YIVO Institute for Jewish Research	19972	Simon Dubnow Papers	Dubnow, Simon, 1860-1941 | YIVO Archives	1632-1938 | bulk 1700-1900	1	0	0	0	0	4	2	1	Clippings (information artifacts) | Correspondence | Decrees | Ketubahs | Legal documents | Manuscripts (documents) | Mi	heb | yid | pol | rus | ger | The collection is in Yiddish and Hebrew, with some Polish, Russian, and German, and a small amount of Aramaic, Latin, and French.	https://archives.cjh.org/repositories/7/resources/19972
18	7	YIVO Institute for Jewish Research	21318	Papers of Daniel Charney	Charney, Daniel, 1888-1959	1920s-1959	1	1	0	0	0	1	3	0	Photographic prints | Diaries	eng | yid	https://archives.cjh.org/repositories/7/resources/21318
17	3	American Jewish Historical Society	15376	Simon Wolf, papers	Wolf, Simon, 1836-1923	undated, 1868-1925	1	0	0	1	0	1	0	0	Articles | Correspondence | Speeches (documents)	eng | Latn | The collection is in English.	https://archives.cjh.org/repositories/3/resources/15376
17	3	American Jewish Historical Society	15652	Moses Family of New York Papers	Moses family	undated, 1767-1941, 1971	0	1	0	1	0	1	0	0	Newspaper clippings | Clippings (information artifacts) | Biographies (literary works) | Receipts (financial records) | 	eng | Latn | heb | Hebr | The collection is in English with some Hebrew.	https://archives.cjh.org/repositories/3/resources/15652
