item_id	omeka_id	error
IL-MTFN-001-G-F-0022-008-R0008	7896	
IL-MTFN-001-G-F-0022-008-R0009	7897	
IL-MTFN-001-G-F-0022-008-R0010	7898	
IL-MTFN-001-G-F-0022-008-R0011	7899	
IL-MTFN-001-G-F-0022-008-R0012	7900	
IL-MTFN-001-G-F-0022-008-R0013	7901	
IL-MTFN-001-G-F-0022-008-R0014	7902	
IL-MTFN-001-G-F-0022-008-R0015	7903	
IL-MTFN-001-G-F-0022-008-R0016	7904	
IL-MTFN-001-G-F-0022-008-R0017	7905	
IL-MTFN-001-G-F-0022-008-R0018	7906	
IL-MTFN-001-G-F-0022-008-R0019	7907	
IL-MTFN-001-G-F-0022-008-R0020	7908	
IL-MTFN-001-G-F-0022-008-R0021	7909	
IL-MTFN-001-G-F-0022-008-R0022	7910	
IL-MTFN-001-G-F-0022-012-R0001	7911	
IL-MTFN-001-G-F-0022-012-R0002	7912	
IL-MTFN-001-G-F-0022-012-R0003	7913	
IL-MTFN-001-G-F-0022-012-R0004	7914	
IL-MTFN-001-G-F-0022-012-R0005	7915	
IL-MTFN-001-G-F-0022-012-R0006	7916	
IL-MTFN-001-G-F-0022-012-R0007	7917	
IL-MTFN-001-G-F-0022-012-R0008	7918	
IL-MTFN-001-G-F-0022-012-R0009	7919	
IL-MTFN-001-G-F-0022-012-R0010	7920	
IL-MTFN-001-G-F-0022-012-R0011	7921	
IL-MTFN-001-G-F-0022-012-R0012	7922	
IL-MTFN-001-G-F-0023-001-R0002	7923	
IL-MTFN-001-G-F-0025-001-R0001	7924	
IL-MTFN-001-G-F-0025-001-R0002	7925	
IL-MTFN-001-G-F-0029-001-R0001	7926	
IL-MTFN-001-G-F-0029-001-R0003	7927	
IL-MTFN-001-G-F-0029-001-R0004	7928	
IL-MTFN-001-G-F-0031-001-R0001	7929	
IL-MTFN-001-G-F-0031-001-R0002	7930	
IL-MTFN-001-G-F-0034-001-R0001	7931	
IL-MTFN-001-G-F-0034-001-R0002	7932	
IL-MTFN-001-G-F-0034-001-R0003	7933	
IL-MTFN-001-G-F-0034-001-R0004	7934	
IL-MTFN-001-G-F-0035-001-R0001	7935	
IL-MTFN-001-G-F-0038-001-R0001	7936	
IL-MTFN-001-G-F-0039-001-R0001	7937	
IL-MTFN-001-G-F-0040-001-R0001	7938	
IL-MTFN-001-G-F-0041-001-R0002	7939	
IL-MTFN-001-G-F-0041-001-R0003	7940	
IL-MTFN-001-G-F-0041-001-R0004	7941	
IL-MTFN-001-G-F-0041-001-R0005	7942	
IL-MTFN-001-G-F-0041-001-R0006	7943	
IL-MTFN-001-G-F-0041-001-R0007	7944	
IL-MTFN-001-G-F-0041-001-R0008	7945	
IL-MTFN-001-G-F-0041-003-R0001	7946	
IL-MTFN-001-G-F-0041-003-R0002	7947	
IL-MTFN-001-G-F-0042-001-R0002	7948	
IL-MTFN-001-G-F-0042-001-R0003	7949	
IL-MTFN-001-G-F-0042-001-R0004	7950	
IL-MTFN-001-G-F-0047-001-R0001	7951	
IL-MTFN-001-G-F-0047-002-R0005	7952	
IL-MTFN-001-G-F-0047-002-R0010	7953	
IL-MTFN-001-G-F-0047-002-R0013	7954	
IL-MTFN-001-G-F-0047-003-R0001	7955	
IL-MTFN-001-G-F-0047-003-R0002	7956	
IL-MTFN-001-G-F-0047-003-R0006	7957	
IL-MTFN-001-G-F-0047-003-R0007	7958	
IL-MTFN-001-G-F-0047-003-R0008	7959	
IL-MTFN-001-G-F-0047-003-R0013	7960	
IL-MTFN-001-G-F-0047-004-R0004	7961	
IL-MTFN-001-G-F-0047-004-R0015	7962	
IL-MTFN-001-G-F-0047-004-R0016	7963	
IL-MTFN-001-G-F-0047-004-R0017	7964	
IL-MTFN-001-G-F-0047-012-R0006	7965	
IL-MTFN-001-G-F-0047-013-R0001	7966	
IL-MTFN-001-G-F-0047-013-R0002	7967	
IL-MTFN-001-G-F-0047-013-R0003	7968	
IL-MTFN-001-G-F-0047-013-R0004	7969	
IL-MTFN-001-G-F-0047-014-R0001	7970	
IL-MTFN-001-G-F-0047-017-R0001	7971	
IL-MTFN-001-G-F-0047-018-R0001	7972	
IL-MTFN-001-G-F-0047-018-R0002	7973	
IL-MTFN-001-G-F-0047-018-R0003	7974	
IL-MTFN-001-G-F-0047-018-R0004	7975	
IL-MTFN-001-G-F-0047-020-R0001	7976	
IL-MTFN-001-G-F-0047-020-R0002	7977	
IL-MTFN-001-G-F-0047-020-R0003	7978	
IL-MTFN-001-G-F-0047-020-R0004	7979	
IL-MTFN-001-G-F-0047-022-R0001	7980	
IL-MTFN-001-G-F-0047-022-R0002	7981	
IL-MTFN-001-G-F-0047-022-R0003	7982	
IL-MTFN-001-G-F-0047-022-R0004	7983	
IL-MTFN-001-G-F-0047-024-R0001	7984	
IL-MTFN-001-G-F-0047-024-R0002	7985	
IL-MTFN-001-G-F-0047-024-R0003	7986	
IL-MTFN-001-G-F-0047-024-R0004	7987	
IL-MTFN-001-G-F-0047-024-R0005	7988	
IL-MTFN-001-G-F-0047-024-R0006	7989	
IL-MTFN-001-G-F-0047-024-R0007	7990	
IL-MTFN-001-G-F-0047-024-R0008	7991	
IL-MTFN-001-G-F-0047-024-R0009	7992	
IL-MTFN-001-G-F-0047-024-R0010	7993	
IL-MTFN-001-G-F-0047-024-R0011	7994	
IL-MTFN-001-G-F-0047-024-R0012	7995	
